business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,categories,price,takeout,delivery,outdoor,credit,has_tv,alcohol
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,19106,39.953949,-75.1432262,4,245,"Sushi Bars, Restaurants, Japanese",2,TRUE,TRUE,TRUE,TRUE,FALSE,'full_bar'
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4,65,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",2,TRUE,TRUE,FALSE,TRUE,TRUE,u'full_bar'
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,19127,40.0224662,-75.218314,3,41,"Pizza, Restaurants, Salad, Soup",1,TRUE,TRUE,TRUE,TRUE,TRUE,u'none'
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,19104,39.954573,-75.1948936,3,56,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",1,TRUE,TRUE,FALSE,TRUE,TRUE,u'none'
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,19130,39.963077709,-75.1680274529,3,137,"Restaurants, Chinese",1,TRUE,TRUE,FALSE,TRUE,TRUE,u'none'
WYYdQDjx-DsCanlP0DpImQ,J Sushi,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,"Seafood, Restaurants, Sushi Bars, Japanese",2,TRUE,TRUE,FALSE,TRUE,TRUE,'none'
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",1,TRUE,FALSE,TRUE,FALSE,TRUE,'none'
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4,46,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",2,TRUE,FALSE,FALSE,TRUE,TRUE,u'full_bar'
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,Philadelphia,PA,19139,39.9563959,-75.2253784,4.5,66,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",1,TRUE,TRUE,FALSE,TRUE,TRUE,u'none'
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,Philadelphia,PA,19147,39.9412993,-75.1477446,3,178,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars",2,TRUE,FALSE,FALSE,FALSE,FALSE,u'none'
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,Philadelphia,PA,19146,39.9368911,-75.1672837,2.5,16,"Restaurants, Fast Food",1,TRUE,TRUE,FALSE,TRUE,TRUE,u'none'
dChRGpit9fM_kZK5pafNyA,The Love,Philadelphia,PA,19103,39.9506555,-75.1708991,4,618,"Restaurants, American (New), Breakfast & Brunch, Burgers",2,TRUE,TRUE,TRUE,TRUE,FALSE,u'full_bar'
eJ77e9lGxY3ArzaoDbHhYw,Paddy Whacks Irish Sports Pub - South Street,Philadelphia,PA,19147,39.9410539,-75.1454627,2.5,161,"Bars, Nightlife, Pubs",2,TRUE,TRUE,TRUE,TRUE,TRUE,u'full_bar'
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Philadelphia,PA,19147,39.9418766,-75.1451988,4,604,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",2,TRUE,FALSE,TRUE,TRUE,TRUE,u'full_bar'
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,Philadelphia,PA,19103,39.9535919923,-75.1794226902,3.5,163,"Restaurants, French",2,TRUE,TRUE,FALSE,TRUE,FALSE,'full_bar'
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,Philadelphia,PA,19131,40.0027825,-75.2222705,3,52,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",1,TRUE,TRUE,FALSE,TRUE,TRUE,'none'
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,Philadelphia,PA,19107,39.947207,-75.1572515,4,217,"Indian, Restaurants",1,TRUE,TRUE,FALSE,TRUE,TRUE,u'none'
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,Philadelphia,PA,19147,39.9408715785,-75.1510468125,4,166,"Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food",2,TRUE,FALSE,TRUE,TRUE,TRUE,u'full_bar'
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,Philadelphia,PA,19114,40.08178,-75.0267907,4,80,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",1,TRUE,TRUE,FALSE,TRUE,FALSE,u'none'
CPgWuWGZ4v2sZr5_-1kluw,Checkers,Philadelphia,PA,19121,39.9719414,-75.159771,2,21,"Restaurants, Fast Food, Burgers",1,TRUE,TRUE,TRUE,TRUE,TRUE,u'none'
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,Philadelphia,PA,19107,39.958422,-75.158257,3,29,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch",1,TRUE,TRUE,TRUE,TRUE,FALSE,u'none'
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,Philadelphia,PA,19147,39.9403745,-75.1456109,3.5,44,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants",2,TRUE,TRUE,TRUE,TRUE,TRUE,u'full_bar'
PdMXmOWDRHICAx6SLgu1dQ,24,Philadelphia,PA,19103,39.9515211,-75.1798731,3.5,111,"Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch",2,TRUE,TRUE,TRUE,TRUE,TRUE,u'full_bar'
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,Philadelphia,PA,19143,39.94796,-75.22198,4,301,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",1,TRUE,TRUE,FALSE,TRUE,TRUE,u'none'
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,Philadelphia,PA,19103,39.953291,-75.173645,4,65,"Restaurants, Delis, Salad, Sandwiches",1,TRUE,TRUE,TRUE,TRUE,TRUE,u'none'
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,Philadelphia,PA,19102,39.949603,-75.1649701595,3.5,149,"Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)",4,FALSE,FALSE,FALSE,TRUE,TRUE,'full_bar'
